,price (CLP),rooms,size (m2),address
949,400000,2.0,88.0,"24 Norte 1200 - 1500, Viña Del Mar..."
950,550000,1.0,35.0,Av. Coraceros | Av. Nueva Libertad...
951,600000,3.0,89.0,"General Prieto 300 - 600, Valparaí..."
953,450000,1.0,42.0,Departamento En Arriendo De 1 Dorm...
956,400000,2.0,48.0,"Cerro Placeres, Valparaíso"
958,950000,3.0,80.0,Av. Jorge Montt / Condominio Puert...
959,350000,2.0,60.0,"Virgilio Arias 65, Valparaíso, Chi..."
962,400000,2.0,48.0,"Cerro Placeres, Valparaíso"
964,950000,3.0,80.0,Av. Jorge Montt / Condominio Puert...
965,350000,2.0,60.0,"Virgilio Arias 65, Valparaíso, Chi..."
966,350000,2.0,63.0,"Navío San Martín 70, Valparaíso, C..."
967,950000,3.0,85.0,"Arenales 156, Concón, Chile, Costa..."
969,360000,2.0,50.0,"Canal Kirke, Viña Del Mar, Chile, ..."
970,750000,3.0,95.0,"Pasaje Alvarez 1090, Viña Del Mar,..."
972,500000,3.0,78.0,"Placeres, Cerro Placeres, Valparaí..."
973,480000,1.0,75.0,"Arenales 535, Concón, Chile, Costa..."
974,430000,1.0,45.0,"Francisco Soza, Montemar, Concón"
975,440000,2.0,58.0,"Ignacio Carrera Pinto 0376, Villa ..."
976,260000,1.0,18.0,"Cerro Placeres, Valparaíso"
979,650000,2.0,63.0,"Las Golondrinas | Viña Del Mar, Re..."
980,490000,4.0,88.0,"Agua Santa, Viña Del Mar"
981,340000,2.0,44.0,"Nuevo | Comodidad | Villa Alemana,..."
982,800000,2.0,82.0,"Edmundo Eluchans, Reñaca, Viña Del..."
983,700000,2.0,55.0,"Los Mirlos 181, Viña Del Mar, Chil..."
984,450000,2.0,41.0,"Av. Vicuña Mackenna, Quillota, Cen..."
985,550000,2.0,60.0,"Las Perlas 1800 - 2100, Viña Del M..."
986,430000,3.0,74.0,Arriendo Depto Nuevo En Av. Lomas ...
987,800000,3.0,80.0,"Av. Borgoño 20500, Concón, Chile, ..."
988,620000,2.0,64.0,"Arlegui 1320, Viña Del Mar, Chile,..."
989,330000,3.0,60.0,"Av. Las Maravillas 630, Viña Del M..."
990,520000,2.0,60.0,Avenida Santa Teresa De Los Andes ...
991,400000,1.0,58.0,"Cerro Concepcion, Cerro Alegre, Va..."
992,370000,1.0,54.0,"Avenida Placeres 206, Cerro Placer..."
993,400000,1.0,40.0,"Edmundo Eluchans 2506, Reñaca, Viñ..."
994,400000,2.0,47.0,"Camino Del Sol, Quilpué, Chile, Pa..."
995,520000,2.0,70.0,"2 Oriente 900 - 1200, Viña Del Mar..."
997,580000,2.0,57.0,"Edmundo Eluchans, Costas De Montem..."
998,460000,2.0,61.0,"(nmd11478) Sendero Norte, Altos De..."
999,500000,2.0,52.0,"Agua Santa, Recreo, Agua Santa, Vi..."
1000,450000,1.0,35.0,"Viana 900 - 1200, Viña Del Mar, Ch..."
1001,520000,2.0,60.0,"Pimpinelas, Higuerillas, Concón"
1002,500000,2.0,45.0,"Entrelomas / La Luna, Costas De Mo..."
1004,550000,2.0,60.0,"Sendero Norte, Viña Del Mar, Chile..."
1006,765000,2.0,90.0,"Avenida Francisco Soza Cousiño, Co..."
1008,500000,2.0,45.0,"Entrelomas / La Luna, Costas De Mo..."
1010,550000,2.0,60.0,"Sendero Norte, Viña Del Mar, Chile..."
1012,765000,2.0,90.0,"Avenida Francisco Soza Cousiño, Co..."
1014,470000,1.0,34.0,"Calle Quillota, Centro De Viña Del..."
1015,400000,1.0,50.0,"Cumming, Valparaíso, Chile, Cerro ..."
1016,600000,2.0,64.0,"Avenida Pacifico 5159, Viña Del Ma..."
1017,400000,2.0,54.0,"Condominio Parque Pinares, Los Pin..."
1018,500000,3.0,80.0,"Avenida Curauma Sur, Placilla, Val..."
1019,600000,4.0,77.0,Bartolome Mitre | Cerro Barón | Va...
1020,480000,1.0,40.0,"2 Poniente 1 - 300, Viña Del Mar, ..."
1022,300000,3.0,45.0,"San Felipe, Chile, Centro De San F..."
1023,325000,3.0,65.0,"Avenida Gómez Carreño 4647, Valpar..."
1024,340000,1.0,27.0,"Los Andes, Chile, Centro De Los An..."
1025,680000,2.0,54.0,"Avenida Costa De Montemar, Concón,..."
1026,800000,3.0,95.0,"Padre Enrique Del Río 581, Puchunc..."
1027,530000,3.0,58.0,"Atlántico 4004, Viña Del Mar, Valp..."
1028,500000,2.0,50.0,"Isla Picton 245, 2561813 Valparaís..."
1029,550000,2.0,55.0,Departamento Amoblado Año Corrido....
1030,550000,3.0,78.0,"Claudio Vicuña  Sn, Centro De Quil..."
1031,600000,3.0,73.0,Arriendo Año Corrido En Algarrobo ...
1032,590000,2.0,55.0,"Costas De Montemar, Concón"
1033,360000,2.0,55.0,"Lago Zenteno 1615, Viña Del Mar, C..."
1034,410000,3.0,60.0,"Tarapacá 4, Quillota, La Cruz, Chi..."
1035,480000,1.0,51.0,"Montemar, Concón"
1036,450000,1.0,40.0,"3 Oriente 1331, Viña Del Mar, Chil..."
1037,500000,2.0,70.0,"Laurencia Sn, Reñaca, Viña Del Mar"
1039,450000,1.0,45.0,"Av. Borgoño. Playa La Boca, La Boc..."
1040,480000,2.0,52.0,"Altos De Viña, Centro De Viña Del ..."
1041,640000,2.0,57.0,"P. Mackenna, 798, Forestal, Viña D..."
1042,450000,2.0,50.0,"Centro De Viña Del Mar, Viña Del M..."
1043,340000,1.0,30.0,"Cerro Placeres, Valparaíso"
1044,410000,2.0,54.0,"Departamento En Arriendo, Paso Hon..."
1045,490000,3.0,63.0,"Canal Kirke 450, Viña Del Mar, Chi..."
1046,590000,3.0,78.0,"Jose Manuel Balmaceda 865, Reñaca,..."
1047,330000,3.0,61.0,"L. Peñuelas 860, Viña Del Mar, Chi..."
1048,650000,2.0,80.0,"El Encanto 533, Viña Del Mar, Valp..."
1049,490000,3.0,80.0,"General Mackenna, Valparaíso, Chil..."
1050,680000,2.0,75.0,"Avenida Maritima 620, Papudo, Chil..."
1053,500000,2.0,54.0,"Laura Barros 205, Concón, Chile, M..."
1054,335000,3.0,59.0,"Enrique Amthor 1919, La Calera, Ca..."
1055,380000,3.0,48.0,"Los Aromos 1345, Villa Alemana, Ch..."
1056,680000,2.0,75.0,"Avenida Maritima 620, Papudo, Chil..."
1059,500000,2.0,54.0,"Laura Barros 205, Concón, Chile, M..."
1060,335000,3.0,59.0,"Enrique Amthor 1919, La Calera, Ca..."
1061,380000,3.0,48.0,"Los Aromos 1345, Villa Alemana, Ch..."
1062,700000,2.0,63.0,Oportunidad Vista Insuperable 2d/2...
1065,420000,1.0,35.0,"Lomas De Montemar, Concón, Chile, ..."
1066,530000,3.0,90.0,"Los Carreras, Quilpué, Chile, Cent..."
1067,400000,2.0,42.0,"Cerro Placeres, Cerro Placeres, Va..."
1068,800000,3.0,71.0,"Reñaca, Viña Del Mar"
1070,690000,2.0,60.0,Gastos Comunes Incluidos / Sector ...
1072,600000,3.0,75.0,"Avenida Los Placeres 206, Cerro Pl..."
1073,430000,2.0,60.0,"Av. Cardenal Samoré, Placilla, Val..."
1074,650000,3.0,85.0,"Fhv9+fq, Papudo, Valparaíso, Chile..."
1075,600000,2.0,57.0,"P.mackenna, 798, Forestal, Viña De..."
1076,350000,1.0,30.0,Departamento 1d-1b Arriendo Uno No...
1077,450000,3.0,67.0,"Costa Algarrobo Norte, Mirasol, Al..."
1081,450000,2.0,62.0,"General Prieto, Viña Del Mar, Chil..."
1082,600000,3.0,80.0,"Cerro Recreo, Recreo, Viña Del Mar"
1085,425000,3.0,65.0,"Noruega 1069, Valparaíso"
1086,370000,2.0,51.0,"Céntrico | Nuevo | Villa Alemana, ..."
1087,680000,2.0,72.0,"Concón, Chile, Los Romeros - Los M..."
1088,650000,2.0,58.0,"Avenida Costa De Montemar, Concón,..."
1089,620000,2.0,62.0,"Entrelomas, Costas De Montemar, Co..."
1090,520000,3.0,80.0,"Maroto 1455, 2510421 Valparaíso, C..."
1091,820000,3.0,80.0,"Reñaca Norte, Reñaca, Viña Del Mar"
1092,730000,3.0,80.0,"Berger, Centro De Viña Del Mar, Vi..."
1093,380000,2.0,55.0,"Navío San Martín, Condominio Barri..."
1094,400000,2.0,60.0,"Los Pinos 937, Valparaíso, Chile, ..."
1095,350000,2.0,45.0,"Condominio Los Ciruelos, Los Pinos..."
1097,700000,2.0,65.0,"Avenida Costa De Montemar 433, Cos..."
1098,500000,2.0,51.0,"(nmd) Sendero Norte, Altos De Viña..."
1100,650000,2.0,40.0,"Libertad, Viña Del Mar"
1101,750000,3.0,61.0,Condominio Alto Recreo | Hacienda ...
1102,460000,2.0,47.0,"Camino Troncal, Viña Del Mar, Chil..."
1103,700000,2.0,63.0,"Costas De Montemar, Concón"
1104,500000,2.0,51.0,"(nmd) Sendero Norte, Altos De Viña..."
1106,650000,2.0,40.0,"Libertad, Viña Del Mar"
1107,750000,3.0,61.0,Condominio Alto Recreo | Hacienda ...
1108,460000,2.0,47.0,"Camino Troncal, Viña Del Mar, Chil..."
1109,700000,2.0,63.0,"Costas De Montemar, Concón"
1110,365000,3.0,58.0,"Avenida Lomas De La Luz 3894, Plac..."
1111,675000,2.0,70.0,"Montemar, Concón"
1112,350000,1.0,60.0,"General Prieto 450, Valparaíso, Vi..."
1114,415000,3.0,60.0,"Jorge Ross 1070, Villa Dulce, Viña..."
1115,910000,4.0,1.0,"Viña Del Mar, Viña Del Mar"
1117,525000,2.0,51.0,"Avenida Gómez Carreño 4065, Viña D..."
1120,615000,2.0,60.0,"Las Pimpinelas 765, Concón, Chile,..."
1121,700000,2.0,75.0,"Reñaca, Reñaca, Viña Del Mar"
1122,270000,1.0,23.0,Arriendo Departamento Estudio V. A...
1123,630000,2.0,55.0,"Costa Montemar, Concón, Viña Del M..."
1125,700000,2.0,88.0,"Avenida Marina 94, Viña Del Mar, C..."
1126,460000,3.0,61.0,"Glaciar Grey, Colinas De Oro, Quil..."
1127,900000,3.0,83.0,Edificio Medano - Los Prunos 300 -...
1128,450000,2.0,56.0,"Río Imperial, Concón, Chile, Monte..."
1130,650000,3.0,70.0,"Los Abedules 1789, Montemar, Concón"
1135,600000,3.0,85.0,"Agua Santa 300 - 600, Viña Del Mar..."
1136,350000,2.0,55.0,Departamento En Arrriendo 2d-1b-1e...
1137,580000,2.0,50.0,"Los Abedules, Montemar, Concón"
1138,400000,3.0,48.0,Arriendo Departamento Amoblado En ...
1139,1000000,2.0,70.0,"Av. Borgoño 17310, Viña Del Mar, C..."
1140,550000,2.0,51.0,"Los Abedules/camino Central, Monet..."
1141,395000,3.0,60.0,"Las Acacias 1421, Peñablanca, Vill..."
1142,470000,3.0,75.0,"Avenida Gómez Carreño 3701, Viña D..."
1143,450000,2.0,85.0,"Avenida Jardines De Reñaca, Viña D..."
1144,800000,3.0,76.0,"Costa Quilen, Horcón, Puchuncaví"
1145,280000,1.0,18.0,"Cerro Placeres, Valparaíso"
1147,630000,2.0,68.0,"Los Arenales 196, Montemar, Concón"
1148,600000,2.0,55.0,Avenida Costa De Montemar 300 - 60...
1149,405000,3.0,60.0,"Av. Lomas De La Luz, Placilla, Val..."
1150,600000,2.0,65.0,"Talasia 500, Viña Del Mar, Chile, ..."
1153,630000,2.0,68.0,"Los Arenales 196, Montemar, Concón"
1154,600000,2.0,55.0,Avenida Costa De Montemar 300 - 60...
1155,405000,3.0,60.0,"Av. Lomas De La Luz, Placilla, Val..."
1156,600000,2.0,65.0,"Talasia 500, Viña Del Mar, Chile, ..."
1158,480000,2.0,58.0,"Antofagasta, Valparaíso, Chile, Va..."
1160,530000,3.0,53.0,Se Arrienda Depto El Tabo Vista Al...
1162,560000,3.0,70.0,Av. Borde Laguna - Cardenal Samoré...
1163,420000,3.0,55.0,"Lomas Del Bosque 185, Valparaíso, ..."
1164,650000,3.0,72.0,"Los Abedules 1789, Concón, Chile, ..."
1165,450000,2.0,55.0,"Camino Troncal 2300, Villa Alemana..."
1166,750000,3.0,70.0,"Arenales 1 - 300, Concón, Chile, C..."
1167,340000,3.0,53.0,"Lago Villarrica 1 - 300, Viña Del ..."
1168,600000,3.0,70.0,Departamento En Arriendo En Algarr...
1170,460000,3.0,61.0,"Glaciar Grey, Colinas De Oro, Quil..."
1171,600000,3.0,90.0,"Edificio Cumbres De Aconcagua, Los..."
1174,560000,2.0,55.0,Oportunidad Vista Pacifico Centro ...
1175,315000,1.0,30.0,"Cerro Barón, Valparaíso, Chile, Ce..."
1176,1200000,2.0,58.0,"Av. Borgoño 1560, Concón, Chile, P..."
1179,380000,1.0,25.0,"Quillota 235, Viña Del Mar, Chile,..."
1180,670000,3.0,82.0,"6 Norte, Libertad, Viña Del Mar"
1181,750000,4.0,90.0,"Condominio Casamar 2, Mantagua, Qu..."
1182,700000,2.0,60.0,"Bellavista, Edificio Reñaca Blue, ..."
1183,370000,2.0,51.0,"Céntrico | Nuevo | Villa Alemana, ..."
1184,700000,2.0,55.0,"Costa De Montemar, Costas De Monte..."
1185,460000,3.0,61.0,"Glaciar Grey, Colinas De Oro, Quil..."
1186,400000,2.0,42.0,"Canal Kirke 370, Viña Del Mar, Chi..."
1188,460000,3.0,61.0,"Glaciar Grey, Colinas De Oro, Quil..."
1189,460000,3.0,57.0,"Lago Zenteno 1200 - 1500, Viña Del..."
1191,650000,3.0,80.0,"Avenida San Martín  1306, Libertad..."
1192,545000,3.0,85.0,"Avenida Playa Ancha 925, Valparaís..."
1193,330000,2.0,50.0,Promoción Arriendo 2d2b &#43; Esta...
1194,280000,2.0,43.0,"Irma Johnson Molina, Quilpué, Chil..."
1195,430000,2.0,35.0,"Arriendo Home Studio, La Boca, Con..."
1196,300000,3.0,50.0,"Calle Las Maravillas 201, Viña Del..."
1197,750000,2.0,90.0,"Montemar, Concón"
1199,800000,2.0,85.0,Amoblado. Soleado Y Acogedor Depar...
1200,280000,2.0,43.0,"Irma Johnson Molina, Quilpué, Chil..."
1201,430000,2.0,35.0,"Arriendo Home Studio, La Boca, Con..."
1202,300000,3.0,50.0,"Calle Las Maravillas 201, Viña Del..."
1203,750000,2.0,90.0,"Montemar, Concón"
1205,800000,2.0,85.0,Amoblado. Soleado Y Acogedor Depar...
1206,400000,2.0,45.0,"Las Encinas 1025, Concón, Chile, L..."
1208,300000,3.0,48.0,"Condominio Hermanos Maristas, Los ..."
1210,650000,2.0,75.0,"Los Arenales, Costas De Montemar, ..."
1211,430000,2.0,51.0,"Camino Troncal 2300, Peñablanca, V..."
1212,430000,2.0,46.0,"Camino Los Ingleses 815, Valparaíso"
1214,260000,1.0,18.0,"Cerro Placeres, Valparaíso"
