,price (CLP),rooms,size (m2),address
561,420000,2.0,55.0,"Crisol Arrienda Depto Tercer Piso,..."
562,370000,3.0,75.0,"Los Alamos 928, Belloto Centro, Qu..."
563,400000,1.0,40.0,"Solingen 220, Viña Del Mar, Chile,..."
564,420000,1.0,32.0,"Von Schroeder 1 - 300, Viña Del Ma..."
565,700000,3.0,87.0,"Sector Jardin Del Mar, Reñaca, Viñ..."
566,300000,3.0,55.0,"San Martin 501, Centro De Quintero..."
567,800000,4.0,90.0,"Libertad, Viña Del Mar"
568,380000,2.0,40.0,"Camino Troncal 2300, Villa Alemana..."
569,400000,1.0,50.0,"Arriendo En Costa De Montemar, Cos..."
570,410000,2.0,70.0,"Departamento En San Roque, Valpara..."
571,450000,2.0,64.0,"Pelle 1 - 300, Valparaíso, Chile, ..."
573,380000,2.0,35.0,"Sector Cumbres De Reñaca, Reñaca A..."
574,480000,2.0,49.0,"Edificio Mirador Placeres Ii, Cerr..."
576,410000,2.0,70.0,"Departamento En San Roque, Valpara..."
577,450000,2.0,64.0,"Pelle 1 - 300, Valparaíso, Chile, ..."
579,380000,2.0,35.0,"Sector Cumbres De Reñaca, Reñaca A..."
580,480000,2.0,49.0,"Edificio Mirador Placeres Ii, Cerr..."
582,360000,2.0,54.0,"Lisboa 1 - 300, Viña Del Mar, Chil..."
583,400000,2.0,50.0,"Camino Troncal 2300, Villa Alemana..."
584,400000,2.0,48.0,"Departamento En Viña Del Mar Alto,..."
585,430000,3.0,70.0,"Calle Ibsen 568 568, Placilla, Val..."
586,435000,1.0,1.0,"Montemar, Concón"
587,500000,2.0,59.0,"San Fernando 46, Concón, Chile, Mo..."
588,570000,1.0,46.0,"Departamento Amoblado En Reñaca, R..."
589,400000,2.0,51.0,"Los Carreras, Quilpué, Chile, Cent..."
590,310000,3.0,60.0,"Centro De Quillota, Quillota"
591,800000,3.0,90.0,"3 Poniente, Libertad, Viña Del Mar"
592,470000,1.0,40.0,Liquidambar Esquinas Las Cineraria...
594,630000,2.0,60.0,"Costas De Montemar, Concón"
595,450000,1.0,32.0,"Avenida Costa De Montemar 186, Val..."
596,330000,3.0,45.0,"Condominio Los Paltos, Calera"
597,480000,2.0,42.0,"Entrelomas 110, Concón, Chile, Cos..."
598,600000,2.0,67.0,"Liagora 375, Viña Del Mar, Chile, ..."
599,900000,3.0,75.0,"8 Norte, Libertad, Viña Del Mar"
600,425000,2.0,61.0,"Avda Urmeneta, San Francisco De Li..."
601,420000,2.0,50.0,"Camino Troncal 2300, Villa Alemana..."
602,330000,1.0,30.0,"Ignacio Carrera Pinto 0265, Valpar..."
603,330000,2.0,60.0,"Martin Rivas 3409, Villa Alemana, ..."
604,450000,1.0,31.0,"Departamento En Isla Picton, Viña ..."
605,420000,1.0,34.0,"Las Encinas 1160, Los Romeros - Lo..."
606,300000,1.0,60.0,"38 Carlos Nebel, Cerro Artilleria ..."
607,670000,3.0,93.0,"Díaz, Villa Alemana, Chile, Centro..."
608,500000,2.0,45.0,"Avenida La Marina, Viña Del Mar, C..."
609,520000,1.0,35.0,"Arenales 196, Concón, Chile, Costa..."
610,520000,2.0,60.0,"Álvarez 1802, Viña Del Mar, Chile,..."
611,400000,1.0,42.0,"Viana 300 - 600, Viña Del Mar, Chi..."
612,649000,3.0,79.0,"Halimeda 300 - 600, Viña Del Mar, ..."
614,430000,1.0,27.0,"Reñaca Nte. 265, Concón, Viña Del ..."
616,390000,2.0,52.0,"Eduardo Titus 300 - 600, Viña Del ..."
617,390000,2.0,55.0,"Palmira Romano Norte 556, Limache,..."
618,670000,2.0,72.0,"Arenales, Concón, Chile, Costas De..."
619,600000,2.0,72.0,"Avenida Las Cinerarias.  300- 700,..."
620,550000,2.0,74.0,"Cantábrico 5067, Valparaíso, Viña ..."
621,450000,3.0,80.0,"Condell 1217, Valparaíso, Chile, S..."
622,350000,1.0,40.0,"Condell Sur 1232, Quilpué, Valpara..."
623,980000,3.0,96.0,"Avenida Blanca Estela 2100 - 2400,..."
624,670000,2.0,72.0,"Arenales, Concón, Chile, Costas De..."
625,600000,2.0,72.0,"Avenida Las Cinerarias.  300- 700,..."
626,550000,2.0,74.0,"Cantábrico 5067, Valparaíso, Viña ..."
627,450000,3.0,80.0,"Condell 1217, Valparaíso, Chile, S..."
628,350000,1.0,40.0,"Condell Sur 1232, Quilpué, Valpara..."
629,980000,3.0,96.0,"Avenida Blanca Estela 2100 - 2400,..."
630,700000,2.0,90.0,"Entrelomas  Sn, Costas De Montemar..."
631,630000,2.0,68.0,"Los Lilenes, Concón, Higuerillas, ..."
632,530000,2.0,60.0,"Gregorio Marañon, Viña Del Mar, Ch..."
633,1600000,3.0,74.0,"Av. Borgoño, Concón, Costas De Mon..."
634,460000,3.0,66.0,"Av. Obispo Valdés Subercaseaux , P..."
635,580000,2.0,70.0,"Entrelomas 365, Concón, Chile, Cos..."
636,580000,1.0,47.0,"Departamento En Forestal Bajo, For..."
638,300000,1.0,45.0,"San Agustín 1397, Concón, Chile, L..."
639,480000,3.0,76.0,"Los Pinos, Quilpué, Chile, Preside..."
642,750000,2.0,70.0,"Entrelomas, Concón, Chile, Costas ..."
643,450000,3.0,50.0,"Camino Vecinal  Sn, Balneario El T..."
644,500000,2.0,70.0,"Avenida Manantiales, Concón, Chile..."
645,360000,3.0,70.0,"Navío San Martín 365, Valparaíso, ..."
646,540000,1.0,37.0,"Avenida Costa De Montemar, Concón,..."
647,520000,3.0,70.0,"Subida Noruega, Valparaíso"
648,550000,3.0,80.0,"Penablanca, Villa Alemana, Chile, ..."
649,630000,2.0,70.0,"El Encanto 300 - 600, Viña Del Mar..."
650,680000,2.0,52.0,"Diecinueve De Junio 1571, Viña Del..."
651,390000,2.0,65.0,"Alto Manquehue 3194, Quilpué, Chil..."
653,630000,2.0,70.0,"El Encanto 300 - 600, Viña Del Mar..."
654,350000,2.0,59.0,"Donegal  71, Placilla, Valparaíso"
655,360000,3.0,75.0,"Hanga Roa, Valparaíso, Chile, Valp..."
656,600000,3.0,67.0,"Laura Barros 11, 2.5104e+06 - 2.51..."
657,510000,2.0,63.0,"Cono Sur 4800 - 5100, Viña Del Mar..."
658,680000,2.0,75.0,Avenida Edmundo Eluchans  1300 - 2...
660,650000,3.0,65.0,Quilpué
661,570000,3.0,50.0,"Limonares , 550, Viña Del Mar"
662,650000,2.0,60.0,"Avenida Borgoño 18900 - 19200, Con..."
663,400000,3.0,60.0,Valparaíso
666,300000,1.0,40.0,"Loft En Centro De Reñaca , 40, Reñ..."
668,550000,1.0,35.0,"P Mackenna 798, Viña Del Mar, Chil..."
669,500000,2.0,60.0,"Gómez Carreño Int, Viña Del Mar, C..."
671,650000,2.0,54.0,"Av. Concón Reñaca 115, Concón, Val..."
672,300000,1.0,40.0,"Loft En Centro De Reñaca , 40, Reñ..."
674,550000,1.0,35.0,"P Mackenna 798, Viña Del Mar, Chil..."
675,500000,2.0,60.0,"Gómez Carreño Int, Viña Del Mar, C..."
677,650000,2.0,54.0,"Av. Concón Reñaca 115, Concón, Val..."
678,350000,3.0,65.0,"Condominio Altos De Merced, Centro..."
679,700000,2.0,68.0,"Av. San Martín 1100-1270, 2.52e+06..."
680,900000,3.0,80.0,"Avenida Edmundo Eluchans, Viña Del..."
681,580000,2.0,5.0,"Viana 900 - 1200, Viña Del Mar, Ch..."
682,370000,3.0,50.0,"Llolleo, San Antonio, Chile, Lloll..."
683,390000,3.0,42.0,"Lago Las Torres, Quilpué, Chile, L..."
684,700000,3.0,90.0,"C. Limache 1161, 2520546 Viña Del ..."
686,450000,1.0,6.0,"Emiliano Figueroa 450, 2540042 Val..."
687,360000,2.0,55.0,"Beaucheff 199, Valparaíso, Chile, ..."
688,300000,1.0,20.0,"4 Poniente 300 - 600, Viña Del Mar..."
689,650000,2.0,80.0,"5 Norte, Viña Del Mar, Chile, Libe..."
690,350000,1.0,70.0,"Lusitania 191, Valparaíso, Viña De..."
691,315000,3.0,80.0,"Ibsen 568, Valparaíso, Chile, Valp..."
692,360000,1.0,57.0,"Doce De Febrero 1524, Viña Del Mar..."
693,550000,3.0,60.0,"El Encanto  432, Reñaca, Viña Del ..."
694,700000,3.0,90.0,"Oxalix Nitella, Reñaca, Viña Del M..."
695,390000,2.0,55.0,"Castilla 124, Viña Del Mar, Chile,..."
696,400000,2.0,50.0,"Avenida La Marina 80, Viña Del Mar..."
697,320000,3.0,56.0,"Av. Gómez Carreño 3707, Viña Del M..."
698,180000,1.0,35.0,"Casma 40, Valparaíso, Chile, Cerro..."
699,400000,1.0,37.0,"Aníbal Pinto 139, Viña Del Mar, Ch..."
700,370000,3.0,50.0,Arriendo Departamento Viña Del Mar...
701,480000,1.0,47.0,"Av. Concón Reñaca 4357, Concón, Ch..."
702,550000,2.0,65.0,"7 Norte 360, Viña Del Mar, Chile, ..."
703,500000,2.0,50.0,"Agua Santa, Viña Del Mar"
704,420000,2.0,72.0,"Litorina 210, Viña Del Mar, Chile,..."
705,360000,1.0,42.0,"Gregorio Marañon, Centro De Viña D..."
706,430000,1.0,50.0,"Reñaca, Viña Del Mar"
707,660000,3.0,57.0,"5 Ote. 0225, 2.5209e+06 - 2.5212e+..."
708,350000,1.0,45.0,"Brasil 1860, 2362881 Valparaíso, C..."
709,350000,1.0,41.0,"Los Pinos 937, Valparaíso, Chile, ..."
710,480000,2.0,72.0,"Litorina 210, Viña Del Mar, Chile,..."
711,370000,1.0,40.0,"Vicuña Mackenna 542, Viña Del Mar,..."
712,420000,3.0,85.0,"Principal 121, Viña Del Mar, Valpa..."
713,400000,1.0,36.0,"Viana 837, Viña Del Mar, Chile, Ce..."
714,380000,3.0,51.0,"Avenida Gómez Carreño 3707, Viña D..."
715,500000,1.0,36.0,"3 Norte 487, Viña Del Mar, Chile, ..."
716,450000,1.0,40.0,"7 Norte 1200 - 1500, Viña Del Mar,..."
717,450000,2.0,60.0,"Avenida Libertad 22, Valparaíso, V..."
718,1200000,3.0,85.0,"Bellavista 836, Viña Del Mar, Valp..."
